自治体番号,都道府県,市区町村,総人口,保育所申込者数,保育所利用者数,待機児童数,利用可能率,ポイント,一人あたりの住居の広さ,ポイント,国勢調査インターネット回答率,ポイント,2020年1月17日1400の昼間人口,2020年7月31日1400の昼間人口,増減率,ポイント,　wifi スポット数,人口あたり,ポイント,日常生活サービス　徒歩圏,ポイント,総合点,順位
1100,北海道,札幌市,1959313,30018,23968,7,79.85%,3,14.56,5,38.3,3,1759002,1753971,-0.29,2,3892,0.20%,5,66.6,6,24,108
1202,北海道,函館市,255308,3415,2307,0,67.55%,2,15.61,6,29.6,1,188025,183669,-2.32,1,552,0.22%,5,64.2,6,21,184
1203,北海道,小樽市,114425,1316,1217,0,92.48%,6,17.1,10,25.2,1,91594,91519,-0.08,3,256,0.22%,6,55.7,5,31,11
1204,北海道,旭川市,334070,5725,4809,19,84.00%,4,16.66,10,33.4,2,221122,217581,-1.6,2,684,0.20%,5,47.8,4,27,46
1206,北海道,釧路市,168086,1843,1634,0,88.66%,5,15.97,8,28.8,1,141009,138129,-2.04,1,328,0.20%,5,47.8,4,24,103
1207,北海道,帯広市,166043,2994,2558,1,85.44%,4,15.72,6,30.9,2,145830,144024,-1.24,2,334,0.20%,5,50.8,5,24,105
1208,北海道,北見市,116630,1685,717,0,42.55%,1,16.4,10,30.2,2,114769,111096,-3.2,1,243,0.21%,5,31.7,3,22,163
1213,北海道,苫小牧市,171242,1921,1502,0,78.19%,3,14.89,5,35.3,2,138891,137214,-1.21,2,289,0.17%,3,47.5,4,19,227
1217,北海道,江別市,119580,1379,854,0,61.93%,1,15.59,6,40.4,4,85665,86637,1.13,4,161,0.13%,1,40.8,4,20,204
2201,青森県,青森市,281232,6724,4277,0,63.61%,2,15.84,6,34.4,2,215630,219986,2.02,5,619,0.22%,5,46.3,4,24,106
2202,青森県,弘前市,170212,4725,3020,0,63.92%,2,15.89,8,34.4,2,133148,131167,-1.49,2,440,0.26%,8,45.3,4,26,66
2203,青森県,八戸市,227812,5580,2081,0,37.29%,1,15.29,6,37.9,3,182279,181142,-0.62,2,591,0.26%,8,33.6,3,23,150
3201,岩手県,盛岡市,288470,6824,5258,0,77.05%,3,14.53,5,40.1,4,258305,248534,-3.78,1,751,0.26%,8,50.4,5,26,68
3209,岩手県,一関市,115426,2633,1675,0,63.62%,2,16.71,10,33.1,2,62285,61540,-1.2,2,205,0.18%,4,13.6,2,22,161
3215,岩手県,奥州市,116082,2890,1927,22,66.68%,2,16.08,8,36.8,3,69186,68857,-0.48,2,228,0.20%,5,14.9,2,22,170
4100,宮城県,仙台市,1064060,19278,16215,232,84.11%,4,13.31,3,38,3,1089068,1066509,-2.07,1,3077,0.29%,10,28.7,3,24,126
4202,宮城県,石巻市,142638,2510,2203,78,87.77%,5,14.77,5,29.4,1,103435,103142,-0.28,2,346,0.24%,6,13.5,2,21,191
4215,宮城県,大崎市,129444,3198,3017,23,94.34%,6,14.52,5,34,2,83436,84884,1.74,4,271,0.21%,5,6.4,1,23,136
5201,秋田県,秋田市,307403,6644,4777,0,71.90%,2,15.95,8,36.2,3,242048,239801,-0.93,2,881,0.29%,10,19.6,2,27,53
6201,山形県,山形市,244998,5804,4604,4,79.32%,3,14.69,5,39.9,4,203408,204503,0.54,3,636,0.26%,8,15,2,25,97
6203,山形県,鶴岡市,125500,3516,3238,0,92.09%,6,16.12,8,36,3,93491,91930,-1.67,2,286,0.23%,6,15.1,2,27,49
6204,山形県,酒田市,101331,2635,1897,0,71.99%,2,17.13,10,32.1,2,84325,84826,0.59,3,246,0.24%,6,23.2,2,25,91
7201,福島県,福島市,277133,4947,3690,223,74.59%,2,14.93,5,35.4,2,218254,219615,0.62,3,660,0.24%,6,31.7,3,21,194
7202,福島県,会津若松市,118322,2736,1791,0,65.46%,2,14.37,4,30.8,2,108789,106851,-1.78,1,324,0.27%,10,48.6,5,24,125
7203,福島県,郡山市,322996,4185,3739,64,89.34%,5,14.55,5,32.6,2,253328,258534,2.06,5,854,0.26%,8,29.4,3,28,38
7204,福島県,いわき市,321535,5579,5016,25,89.91%,5,14.39,4,30.8,2,225317,225663,0.15,3,785,0.24%,6,24.3,2,22,169
8201,茨城県,水戸市,271912,5157,4396,113,85.24%,4,14.36,4,39.4,4,248750,246053,-1.08,2,677,0.25%,6,48.4,4,24,119
8202,茨城県,日立市,177769,2254,1467,0,65.08%,2,14.51,5,34.9,2,126139,125768,-0.29,2,287,0.16%,3,40.4,4,18,251
8203,茨城県,土浦市,142030,2140,1679,10,78.46%,3,13.76,3,41.8,5,136616,137987,1,4,328,0.23%,6,30.4,3,24,124
8204,茨城県,古河市,142992,2324,1426,38,61.36%,1,13.77,3,35.8,3,109559,112071,2.29,5,229,0.16%,3,16.9,2,17,269
8217,茨城県,取手市,107097,1704,1287,13,75.53%,2,15.13,5,40.1,4,76609,79667,3.99,6,132,0.12%,1,55.2,5,23,131
8220,茨城県,つくば市,237653,5840,5241,114,89.74%,5,14.19,4,41.3,4,207533,210007,1.19,4,497,0.21%,5,18.7,2,24,118
8221,茨城県,ひたちなか市,158660,2739,2572,29,93.90%,6,14.69,5,40.9,4,133354,133410,0.04,3,305,0.19%,4,23.8,2,24,110
8227,茨城県,筑西市,104059,2135,1473,5,68.99%,2,14.53,5,37.6,3,92761,94636,2.02,5,171,0.16%,3,13.1,1,19,233
9201,栃木県,宇都宮市,521754,10092,8238,0,81.63%,3,13.72,3,36.8,3,436403,440966,1.05,4,1161,0.22%,6,15.2,2,21,197
9202,栃木県,足利市,147442,2607,2162,0,82.93%,3,14.52,5,39.5,4,113405,114257,0.75,4,219,0.15%,2,8.9,1,19,234
9203,栃木県,栃木市,159951,2754,1402,18,50.91%,1,14.64,5,35.7,2,130322,133665,2.57,5,288,0.18%,4,9.3,1,18,255
9204,栃木県,佐野市,117968,1972,1407,16,71.35%,2,14.55,5,37.5,3,92071,89556,-2.73,1,239,0.20%,5,15.5,2,18,260
9208,栃木県,小山市,167505,2528,2154,0,85.21%,4,13.72,3,38.8,3,141927,139800,-1.5,2,363,0.22%,5,1.9,1,18,261
9213,栃木県,那須塩原市,117458,2736,2083,37,76.13%,2,14.11,4,38.1,3,98204,98649,0.45,3,287,0.24%,6,10.1,1,19,245
10201,群馬県,前橋市,336115,7136,4139,0,58.00%,1,14.53,5,47.3,6,299518,300122,0.2,3,581,0.17%,4,31.2,3,22,175
10202,群馬県,高崎市,373114,8243,5564,0,67.50%,2,14.08,4,43,5,312187,312418,0.07,3,696,0.19%,4,35.1,3,21,195
10203,群馬県,桐生市,110122,2337,1792,0,76.68%,2,15.95,8,40,4,90575,90579,0,3,129,0.12%,1,25,2,20,206
10204,群馬県,伊勢崎市,213366,5698,4475,0,78.54%,3,14.29,4,43.8,5,167595,168779,0.71,4,395,0.19%,4,18.3,2,22,173
10205,群馬県,太田市,224415,5784,3593,0,62.12%,1,14.06,4,43.2,5,199741,196083,-1.83,1,451,0.20%,5,8.9,1,17,274
11100,埼玉県,さいたま市,1314145,20687,17243,0,83.35%,3,13.14,2,43.4,5,1262353,1313667,4.06,6,2159,0.16%,3,36.7,3,22,168
11201,埼玉県,川越市,353301,4820,4148,64,86.06%,4,13.14,2,41.1,4,309487,311774,0.74,4,531,0.15%,2,6.3,1,17,270
11202,埼玉県,熊谷市,196829,3429,3024,29,88.19%,5,14.77,5,38,3,183992,185414,0.77,4,345,0.18%,4,1.2,1,22,165
11203,埼玉県,川口市,607105,9573,7782,49,81.29%,3,12.01,1,38.5,3,417690,451392,8.07,10,783,0.13%,1,38.1,4,22,155
11208,埼玉県,所沢市,344233,5812,4879,26,83.95%,4,12.96,2,41.4,4,262509,272301,3.73,5,485,0.14%,2,0.3,1,18,256
11210,埼玉県,加須市,113043,1965,1777,0,90.43%,5,14.4,4,41.9,5,104249,108846,4.41,6,158,0.14%,2,0,1,23,137
11214,埼玉県,春日部市,234137,2835,2518,24,88.82%,5,13.45,3,39.8,4,183744,190411,3.63,5,307,0.13%,1,2.8,1,19,229
11215,埼玉県,狭山市,150719,2313,2045,46,88.41%,5,13.29,3,41,4,148886,151143,1.52,4,208,0.14%,2,25.8,2,20,213
11217,埼玉県,鴻巣市,118395,1842,1436,0,77.96%,3,14.31,4,50.7,10,94914,102099,7.57,8,140,0.12%,1,40.8,4,30,21
11218,埼玉県,深谷市,143219,3315,3007,2,90.71%,5,14.07,4,43.7,5,136509,138709,1.61,4,242,0.17%,3,6.5,1,22,171
11219,埼玉県,上尾市,228779,3356,2732,24,81.41%,3,12.95,2,46.6,6,175053,182445,4.22,6,331,0.14%,2,55,5,24,109
11221,埼玉県,草加市,249645,3649,3036,39,83.20%,3,11.94,1,35.4,2,208935,219238,4.93,6,378,0.15%,2,0,1,15,279
11222,埼玉県,越谷市,344528,5362,3915,43,73.01%,2,12.66,2,41.6,5,269185,285043,5.89,6,653,0.19%,4,3.3,1,20,221
11224,埼玉県,戸田市,140642,3335,2878,83,86.30%,4,11.06,1,39.5,4,123143,131792,7.02,8,250,0.18%,4,54,5,26,56
11225,埼玉県,入間市,147727,2341,2137,27,91.29%,6,13.42,3,46.2,6,131117,136901,4.41,6,243,0.16%,3,4.6,1,25,92
11227,埼玉県,朝霞市,141802,3244,2718,114,83.79%,4,11.62,1,34.9,2,118090,127709,8.15,10,196,0.14%,2,1.9,1,20,203
11230,埼玉県,新座市,165727,3204,2680,89,83.65%,4,12.18,1,39.8,4,167911,175460,4.5,6,188,0.11%,1,13.8,2,18,252
11232,埼玉県,久喜市,153066,2263,1556,40,68.76%,2,14.17,4,43.7,5,136417,139569,2.31,5,241,0.16%,3,2.8,1,20,220
11235,埼玉県,富士見市,111620,2020,1475,66,73.02%,2,12.29,1,37,3,93048,102143,9.77,10,171,0.15%,3,4.4,1,20,216
11237,埼玉県,三郷市,142529,2348,1731,66,73.72%,2,12.74,2,40.5,4,125542,132560,5.59,6,241,0.17%,3,3.8,1,18,259
11239,埼玉県,坂戸市,101026,1517,1250,9,82.40%,3,13.21,3,42.6,5,101621,100138,-1.46,2,152,0.15%,2,31.7,3,18,258
11245,埼玉県,ふじみ野市,114306,2194,1902,24,86.69%,4,12.31,2,39.9,4,87902,94092,7.04,8,167,0.15%,2,2.7,1,21,188
12100,千葉県,千葉市,972516,16135,13777,48,85.39%,4,13.35,3,40.8,4,938446,954679,1.73,4,1820,0.19%,4,65,6,25,86
12203,千葉県,市川市,490192,8669,7466,576,86.12%,4,12.31,1,34.5,2,358509,396585,10.62,10,685,0.14%,2,73.3,8,27,44
12204,千葉県,船橋市,642938,11763,10668,81,90.69%,5,12.78,2,40.6,4,487599,515074,5.63,6,1057,0.16%,3,74.8,8,28,34
12206,千葉県,木更津市,135617,1993,1757,86,88.16%,5,15.02,5,41.1,4,110506,114894,3.97,5,325,0.24%,6,35.2,3,28,37
12207,千葉県,松戸市,498473,7602,6606,0,86.90%,4,13.19,3,39.6,4,353832,373922,5.68,6,769,0.15%,3,78.9,10,30,14
12208,千葉県,野田市,154373,2210,2049,0,92.71%,6,14.04,4,42.9,5,127848,130089,1.75,4,231,0.15%,2,35.8,3,24,107
12211,千葉県,成田市,132735,2468,2304,18,93.35%,6,13.86,4,40.5,4,166291,154492,-7.1,1,350,0.26%,8,36.3,3,26,70
12212,千葉県,佐倉市,175045,2295,2185,0,95.21%,8,14.72,5,45.6,6,132744,137129,3.3,5,238,0.14%,1,58.6,5,30,15
12216,千葉県,習志野市,173885,2674,1756,338,65.67%,2,12.87,2,44.3,5,170988,171814,0.48,3,298,0.17%,3,73,6,21,193
12217,千葉県,柏市,424920,6879,6066,0,88.18%,5,13.96,4,41.5,5,350507,364674,4.04,6,734,0.17%,4,63.7,6,30,18
12219,千葉県,市原市,275385,3221,2574,38,79.91%,3,13.9,4,36.4,3,223144,230394,3.25,5,467,0.17%,3,26,3,21,187
12220,千葉県,流山市,195476,4731,4342,92,91.78%,6,14.27,4,49.2,8,162533,175023,7.68,8,249,0.13%,1,70,6,33,4
12221,千葉県,八千代市,199786,2799,2256,107,80.60%,3,13.19,3,39.8,4,148496,158619,6.82,8,314,0.16%,3,75.7,8,29,24
12222,千葉県,我孫子市,132183,2049,1931,0,94.24%,6,15.03,5,41.7,5,82854,88498,6.81,8,143,0.11%,1,69,6,31,10
12224,千葉県,鎌ケ谷市,109954,1310,1161,0,88.63%,5,13.28,3,38.5,3,101382,106884,5.43,6,149,0.14%,1,69.9,6,24,98
12227,千葉県,浦安市,170169,3487,2779,165,79.70%,3,12.86,2,43.6,5,206473,189975,-7.99,1,332,0.20%,5,70.9,6,22,174
12231,千葉県,印西市,103513,1774,1433,81,80.78%,3,15.07,5,49.6,8,79708,82876,3.97,5,178,0.17%,4,34.7,3,28,41
13102,東京都,中央区,168361,4453,3718,324,83.49%,4,11.63,1,20.8,1,959166,706464,-26.35,1,1315,0.78%,10,61,6,23,146
13103,東京都,港区,260379,7428,4671,164,62.88%,1,13.34,3,17.1,1,1255753,898502,-28.45,1,1856,0.71%,10,61,6,22,177
13104,東京都,新宿区,348452,5968,5190,27,86.96%,4,11.92,1,12.9,1,1031901,816821,-20.84,1,1756,0.50%,10,61,6,23,147
13105,東京都,文京区,226114,4502,3986,102,88.54%,5,12.94,2,18.9,1,526229,450851,-14.32,1,494,0.22%,5,61,6,20,208
13106,東京都,台東区,202431,3367,2536,227,75.32%,2,12.27,1,12.6,1,451045,397866,-11.79,1,859,0.42%,10,61,6,21,199
13107,東京都,墨田区,274896,6207,4905,148,79.02%,3,11.27,1,29.2,1,343160,338181,-1.45,2,672,0.24%,6,61,6,19,235
13108,東京都,江東区,521835,12967,10890,322,83.98%,4,11.6,1,29.5,1,661570,603077,-8.84,1,1172,0.22%,6,61,5,18,257
13109,東京都,品川区,401704,9242,8330,219,90.13%,5,11.65,1,32.2,2,582952,524461,-10.03,1,948,0.24%,6,61,5,20,219
13110,東京都,目黒区,281474,5287,3870,617,73.20%,2,13.29,3,27.8,1,364079,364782,0.19,3,547,0.19%,4,61,5,18,249
13111,東京都,大田区,734493,13488,11190,572,82.96%,3,11.83,1,33.2,2,654816,664288,1.45,4,1166,0.16%,3,61,5,18,250
13112,東京都,世田谷区,917486,16356,13939,861,85.22%,4,13.18,2,18.8,1,725077,764172,5.39,6,1379,0.15%,2,61,5,20,201
13113,東京都,渋谷区,229671,4593,3823,266,83.24%,3,13.53,3,19,1,822988,653398,-20.61,1,1362,0.59%,10,61,5,23,148
13114,東京都,中野区,335234,6069,4624,375,76.19%,2,12.13,1,24.3,1,351000,369769,5.35,6,507,0.15%,2,61,5,17,263
13115,東京都,杉並区,574118,10762,8482,29,78.81%,3,12.38,2,28.1,1,428281,475922,11.12,10,811,0.14%,2,61,5,23,128
13116,東京都,豊島区,290246,5271,4762,0,90.34%,5,11.82,1,25.8,1,496644,454967,-8.39,1,1102,0.38%,10,61,5,23,149
13117,東京都,北区,353908,7551,6964,82,92.23%,6,11.26,1,13.1,1,353747,372021,5.17,6,543,0.15%,3,61,5,22,154
13118,東京都,荒川区,217146,5358,4922,181,91.86%,6,11.48,1,12.8,1,221563,234210,5.71,6,319,0.15%,2,61,5,21,180
13119,東京都,板橋区,571357,12437,10374,231,83.41%,3,11.17,1,26.8,1,450218,487132,8.2,10,819,0.14%,2,61,5,22,152
13120,東京都,練馬区,739435,14624,12746,48,87.16%,4,11.83,1,23.9,1,495232,554183,11.9,10,917,0.12%,1,61,5,22,151
13121,東京都,足立区,691298,12336,10304,374,83.53%,4,11.39,1,11.3,1,545376,580400,6.42,6,1003,0.15%,2,61,5,19,223
13122,東京都,葛飾区,464550,10661,9552,76,89.60%,5,11.79,1,26.3,1,357692,388907,8.73,10,767,0.17%,3,61,5,25,74
13123,東京都,江戸川区,700079,12660,10569,420,83.48%,3,11.17,1,31.1,2,484985,527623,8.79,10,979,0.14%,2,61,5,23,130
13201,東京都,八王子市,562480,11529,10888,107,94.44%,6,13.25,3,39.8,4,466319,458240,-1.73,2,891,0.16%,3,19.6,2,20,217
13202,東京都,立川市,184090,4082,3596,145,88.09%,5,12.11,1,29.8,1,223337,223738,0.18,3,442,0.24%,6,29.7,3,19,239
13203,東京都,武蔵野市,146871,2641,1986,120,75.20%,2,12.99,2,38.5,3,200548,193987,-3.27,1,401,0.27%,8,58.4,5,21,200
13204,東京都,三鷹市,188461,3707,3128,270,84.38%,4,12.22,1,33.5,2,198696,209139,5.26,6,230,0.12%,1,48.9,5,19,224
13205,東京都,青梅市,133032,3191,3074,12,96.33%,8,13.31,3,33.4,2,98310,101145,2.88,5,181,0.14%,1,11.4,1,20,202
13206,東京都,府中市,260232,5647,4885,383,86.51%,4,11.89,1,39,3,226422,235415,3.97,5,410,0.16%,3,49.4,5,21,185
13207,東京都,昭島市,113397,2853,2606,17,91.34%,6,11.79,1,36.3,3,91181,92781,1.75,4,179,0.16%,3,29.4,3,20,212
13208,東京都,調布市,237054,5175,4621,312,89.29%,5,12.44,2,34,2,202468,215729,6.55,8,379,0.16%,3,54.3,5,25,77
13209,東京都,町田市,428821,7645,6527,229,85.38%,4,13.44,3,38.4,3,384946,394721,2.54,5,637,0.15%,2,36.8,3,20,205
13210,東京都,小金井市,122306,2386,1909,156,80.01%,3,12.15,1,38.5,3,112889,116733,3.41,5,162,0.13%,1,44.1,4,17,264
13211,東京都,小平市,194869,3778,3283,89,86.90%,4,12.18,1,37.3,3,166927,172360,3.25,5,230,0.12%,1,53.7,5,19,226
13212,東京都,日野市,186346,3759,3299,252,87.76%,5,12.77,2,39.7,4,154740,156738,1.29,4,227,0.12%,1,35.4,3,19,228
13213,東京都,東村山市,151255,2719,2294,64,84.37%,4,12.68,2,35,2,112719,120157,6.6,8,164,0.11%,1,25.8,2,19,225
13214,東京都,国分寺市,125170,2588,2416,92,93.35%,6,13.07,2,38.5,3,126737,134798,6.36,6,201,0.16%,3,58.2,5,25,80
13222,東京都,東久留米市,116916,2280,1920,67,84.21%,4,12.62,2,35,2,105171,113458,7.88,8,152,0.13%,1,40.5,4,21,181
